id,language,clean_text,task1,task2,emotion
1,en,she calls herself antifeminazi how about shut the fucking up on your vile commentary on an elderly responsible citizen tu sach muuch ghani baawribewdi hai bey,sexist,ideological-inequality,anger
2,en,now back to these women the brave and the beautiful and these bad ass babes are deserve so much credit for how this season has gone woman ive learned so much from them and feel more empowered to expect more in future relationships,non-sexist,non-sexist,joy
3,en,wow your skirt is very short what is its length inch or more,sexist,objectification,anger
4,en,incredible beautifulbut laughed so much when read about you drifting in your wheelchairi can just picture it,non-sexist,non-sexist,joy
5,en,find it extremely hard to believe that kelly or old mum would believe any of this so it makes me question what the fuck their game was especially as none of them have apologised or tried to explain amp their immediate response was to like tweets attacking the victims,non-sexist,non-sexist,anger
6,en,hellom rajm with good size and excellent stamina passionate pussy lickerlove to lick every holes were womens desire to lickeddoggymissionarywomen on topmy best pose to spank over bed,sexist,sexual-violence,joy
7,en,true story me to yo daughter get gun so you can shoot any wouldbe rapist thats sexist and victim blaming women shouldnt need to carry guns to protect themselvesme youre right they shouldnt have to some people are evil and you need to deal with them,non-sexist,non-sexist,anger
8,en,head coach caroline ouellette is excited to share some great news about the stingers givingtuesday initiative anonymous donor has offered to match gifts to the concordia womens hockey team up to total of,non-sexist,non-sexist,joy
9,en,devli branch new delhi should be avoided all and deserves being shut because the employees therein are least bothered with the consumers woes days yet no redressal of woes disappointed harassed,non-sexist,non-sexist,anger
10,en,bravo to this woman no matter what you believe about covid standing up for your beliefs when everyone around you is making you feel crazy is hard to do she held her own you know this woman please tag her need to send her bottle of wine or something,non-sexist,non-sexist,fear
11,en,you werent actually whatthis is not painted pic this is reality what you are advocating you say facilitators thats stranger examining rape victims anus swabbing her vagina you are telling raped women that their request for same sex care is transphobic,sexist,ideological-inequality,anger
12,en,let me just say quick thankyou to hezekiahs mom for this pound of chocolate hezekiah actually drives me crazy at work but as year old have to forgive him and be nice,non-sexist,non-sexist,joy
13,en,not the victim card,non-sexist,non-sexist,sadness
14,en,thats because us and sunderland fans are too busy being dickheads to our shitshow managers and owners to slag off other clubs,non-sexist,non-sexist,joy
15,en,get over yourselves women know what period is isnt we dont talk about it or whine about it as much as some disinterested parties,non-sexist,non-sexist,anger
16,en,dont know any feminists who think the way youre accusing us of anything feminism would say the opposite woman shouldnt need man or men to make her feel valid anymore than man should we should all find that in ourselves,sexist,ideological-inequality,joy
17,en,what knee slapper so freakin true,non-sexist,non-sexist,anger
18,en,really just want to be rich but not trophy wife rich rich with own,sexist,stereotyping-dominance,joy
19,en,they dont even wanna acknowledge that but were supposed to break from and destroy some system of misandry for them,non-sexist,non-sexist,anger
20,en,this feels like cold take on the surface but feel like this is hand waving away so much earlys conservative media legwork that was done that has been largely paved over limbaugh hit it big in when he uttered the first usage of feminazi had heard describing,sexist,ideological-inequality,anger
21,en,sports nutrition beef bone broth powder made with premiumquality beef bone extract pound,non-sexist,non-sexist,joy
22,en,bitches be begging me to them just to give me reason not to them lol,sexist,sexual-violence,anger
23,en,going to start demanding that hot lesbians sleep with me and if they say no going to accuse them of misandry and heterophobia might throw in racist or fascist toobecause not,sexist,ideological-inequality,anger
24,en,philosophy he has funny mustache what else does man need,non-sexist,non-sexist,surprise
25,en,please always take care of yourself as times are getting hard around the world you are one of the most beautiful women ever made hope this reaches you,non-sexist,non-sexist,joy
26,en,would dislike friend like james harden he gave one of the babys prada bag honey buns richard mille and now have to remember your birthday and go buy you something worth more fuck just give me the honey buns and send me text foh with all the extra shit,non-sexist,non-sexist,anger
27,en,youre beautiful woman with beautiful heart still think youre the sexiest now bend over daddies gonna spank you,sexist,sexual-violence,joy
28,en,looks like cool boss lady,non-sexist,non-sexist,joy
29,en,people who cant be vaccinated you know like pregnant and nursing women people who have had organ transplants those with cancer etc,non-sexist,non-sexist,fear
30,en,women make it about themselves children can live without you touching them every second the child is not toy but full human being if kids could talk from day one they would tell you to leave them alone of the time,non-sexist,non-sexist,sadness
31,en,love poetry books so reading the one have on this plane flight and one of the flight attendants black women goes its good to see brotha reading something thats is so deep,non-sexist,non-sexist,joy
32,en,you are right the probleme is the war between left and right while if they work together they can do great things the equality need freedom and freedom need equalityright have many things to help peopleleft have the humanity who can gain great things to improve society,non-sexist,non-sexist,joy
33,en,fucki hate that there is literally good amount of people lucky enough to even share the same space with you for even some secondsand they fucking behave like this even as an accidentaghhi would die even if was in the same city as you,non-sexist,non-sexist,anger
34,en,women with big knockers shouldnt wear patterned tops draws attention to themselves also too low,sexist,objectification,anger
35,en,1,sexist,ideological-inequality,sadness
36,en,learned needlepoint to pick up chicks when traveling pua mgtow,sexist,misogyny-non-sexual-violence,fear
37,en,the people deserve to know they are being denied month survival checkscovid relief should not be debated behind closed doors,non-sexist,non-sexist,sadness
38,en,have read the bible and you are right the letters of paul are supporting the oppression of women to give one example out of many also if being swallowed large fish and coming out of it alive is natural law then would travel fish and not boat,sexist,stereotyping-dominance,anger
39,en,this is super news for the womensrights,non-sexist,non-sexist,joy
40,en,tuesday eritrean forces killed civilians who were hiding in the alnejashi mosque woman from the tigray town of negash tells me over the phone she managed to escape the massacre amp arrived in mekele last wednesday after walking more than,non-sexist,non-sexist,anger
41,en,ideological-inequality,sexist,ideological-inequality,joy
42,en,except for the human you murdered in the name of whoring yourselves out good job feminists,sexist,ideological-inequality,sadness
43,en,people are actually scared of single woman and these traitors should be scared of her remember one thing you can stop one kangna but uncountable kangna will counter back and stand for what is right,sexist,stereotyping-dominance,fear
44,en,we can discuss that later but the important part is,non-sexist,non-sexist,joy
45,en,the cock carousel is exhausting,non-sexist,non-sexist,anger
46,en,youre transwoman not youre mansplaining womens rights period,sexist,ideological-inequality,fear
47,en,the prompt isnt posted yet free woman till am what else,non-sexist,non-sexist,joy
48,en,ive been sooo interesting whole life and just want to be boring trophy wife now,sexist,stereotyping-dominance,joy
49,en,police searching for man accused of stealing womans purse from inside business driving off with her,non-sexist,non-sexist,fear
50,en,sexual-violence,sexist,sexual-violence,love
51,en,hello stalker in scotland using google chrome an app do not use wont supply and address though stalked harassed loggedinsametimeasme nowherenearscotland differentisland,non-sexist,non-sexist,anger
52,en,new realm debate lamprey milt,non-sexist,non-sexist,joy
53,en,you look like prostitute that literally no one would go to,sexist,misogyny-non-sexual-violence,anger
